#options: 1000x570 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=290 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:44.69 aq:30.99 tex:70509 mv:18884 misc:6063 imb:2268 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:45.84 aq:38.00 tex:0 mv:0 misc:176 imb:0 pmb:0 smb:2268 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:45.84 aq:46.00 tex:0 mv:0 misc:176 imb:0 pmb:0 smb:2268 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:45.84 aq:49.00 tex:0 mv:0 misc:176 imb:0 pmb:0 smb:2268 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:45.84 aq:49.00 tex:0 mv:0 misc:176 imb:0 pmb:0 smb:2268 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:45.39 aq:36.40 tex:157 mv:304 misc:291 imb:43 pmb:18 smb:2207 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:45.61 aq:46.00 tex:1 mv:16 misc:207 imb:0 pmb:3 smb:2265 d:s ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:45.73 aq:49.00 tex:1 mv:5 misc:186 imb:0 pmb:1 smb:2267 d:s ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:45.50 aq:48.00 tex:0 mv:0 misc:176 imb:0 pmb:0 smb:2268 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:44.89 aq:36.33 tex:49 mv:58 misc:229 imb:6 pmb:3 smb:2259 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:45.14 aq:46.00 tex:0 mv:0 misc:192 imb:0 pmb:0 smb:2268 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:45.26 aq:48.00 tex:0 mv:0 misc:176 imb:0 pmb:0 smb:2268 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:45.02 aq:48.00 tex:0 mv:0 misc:176 imb:0 pmb:0 smb:2268 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:44.35 aq:30.67 tex:106 mv:49 misc:245 imb:2 pmb:5 smb:2261 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:44.62 aq:46.00 tex:0 mv:3 misc:197 imb:0 pmb:1 smb:2267 d:s ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:44.75 aq:48.00 tex:0 mv:3 misc:181 imb:0 pmb:1 smb:2267 d:s ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:44.48 aq:47.00 tex:0 mv:0 misc:176 imb:0 pmb:0 smb:2268 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:43.77 aq:32.56 tex:60 mv:27 misc:225 imb:1 pmb:3 smb:2264 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:44.06 aq:45.00 tex:0 mv:0 misc:192 imb:0 pmb:0 smb:2268 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:44.20 aq:47.00 tex:0 mv:0 misc:176 imb:0 pmb:0 smb:2268 d:- ref:0 ;
